"MOC","301007673107474","011300006174320","17349448410","17722697210","000006090615901",11366,78,3545.5,"2013-09-10 07:37:19","","2013-09-10 08:36:24","00","11","000006090615901"
"MTC","301007351508735","011546004318280","17349448410","17722697210","000006090615901",33361,7095,3545.5,"2013-09-10 07:37:19","","2013-09-10 08:36:24","00","11","000006090615901"
"MTC","301007171179459","016857027014960","16616365942","13373282700","000008582293212",62076,4863,112.8,"2013-09-10 08:34:37","","2013-09-10 08:36:30","00","11","000008582293212"
"MTC","301007295056947","012161005457190","15400695402","12107465110","000004564562495",545,3115,525.3,"2013-09-10 08:27:40","","2013-09-10 08:36:25","00","11","000004564562495"
"MTC","301007491684769","012268001310030","19412557180","13693788010","000008582293212",47596,1907,2174.7,"2013-09-10 08:00:24","","2013-09-10 08:36:39","00","11","000008582293212"
"MTC","301007489834781","018375015028120","15134479540","15081633100","000005780793248",6093,2884,2330.2,"2013-09-10 07:57:52","","2013-09-10 08:36:42","00","11","000005780793248"
"MOC","301007386762503","012268000109320","16368255900","14020868990","000005702527036",15304,349,1191.9,"2013-09-10 08:16:42","","2013-09-10 08:36:34","00","11","000005702527036"
"MTC","301007461195452","011364002008150","18577436370","15747841310","000006090615901",19797,8602,483.6,"2013-09-10 08:28:36","","2013-09-10 08:36:40","00","11","000006090615901"
"MTC","301007638803708","011948006482750","13237621464","13146059410","000005780793248",14417,5286,2387.3,"2013-09-10 07:56:39","","2013-09-10 08:36:26","00","11","000005780793248"
"MOC","301007504524847","012337002964170","12316933010","12528777643","000005702527036",9854,4625,3038.9,"2013-09-10 07:45:55","","2013-09-10 08:36:34","00","11","000005702527036"
"MTC","301007388594418","011812006237730","17707946552","19844325510","000005702527036",26504,8653,2238.4,"2013-09-10 07:59:18","","2013-09-10 08:36:37","00","11","000005702527036"
"MTC","301007271079937","017398040215760","19592731471","12083488100","000000903194595",9720,8094,3175.3,"2013-09-10 07:43:38","","2013-09-10 08:36:33","00","11","000000903194595"
"MOC","301007431059647","011245002988030","19191943200","13152587662","000006090615901",26245,945,2530.6,"2013-09-10 07:54:17","","2013-09-10 08:36:28","00","11","000006090615901"
"MOC","301007448391264","017398040712910","17124732200","17322362531","000005702527036",9368,8857,1121,"2013-09-10 08:17:44","","2013-09-10 08:36:25","00","11","000005702527036"
"MTC","301007213463759","011300005329290","13035675822","13415567000","000007608621364",47528,8941,3421.3,"2013-09-10 07:39:34","","2013-09-10 08:36:35","00","11","000007608621364"
"MOC","301007430594703","016938033902650","16412088100","19497523112","000009615183741",9157,9167,2044.3,"2013-09-10 08:02:28","","2013-09-10 08:36:32","00","11","000009615183741"
"MOC","301007023695452","017881040409530","15310341310","13059725052","000009615183741",27264,4459,2632.9,"2013-09-10 07:52:38","","2013-09-10 08:36:31","00","11","000009615183741"
"MTC","301007312893547","011948009441710","18169721950","19073777100","000004564562495",21317,7813,2256.2,"2013-09-10 07:58:53","","2013-09-10 08:36:30","00","11","000004564562495"
"MOC","301007610858481","012417007150440","15202656800","18163985602","000005780793248",27909,5473,2245.1,"2013-09-10 07:59:18","","2013-09-10 08:36:43","04","11","000005780793248"
"MOC","301007554589630","011812000145950","14451540410","13649360700","000009615183741",59516,8190,3210.7,"2013-09-10 07:43:09","","2013-09-10 08:36:40","00","11","000009615183741"
"MTC","301007447257459","012268001565600","14451540410","13649360700","000009615183741",57266,1556,3210.7,"2013-09-10 07:43:09","","2013-09-10 08:36:40","00","11","000009615183741"
"MOC","301007493463147","017398047965690","19254346700","14321985400","000004564562495",53295,8879,3595.4,"2013-09-10 07:36:39","","2013-09-10 08:36:35","00","11","000004564562495"
"MTC","301007425034620","019337202710530","19254346700","14321985400","000004564562495",2150,4290,3595.4,"2013-09-10 07:36:39","","2013-09-10 08:36:35","00","11","000004564562495"
"MTC","301007212360159","017398044293290","18623043501","13414463400","000007608621364",42555,652,1329.2,"2013-09-10 08:14:30","","2013-09-10 08:36:39","00","11","000007608621364"
"MTC","301007314549457","019337206000810","19732982022","19075433010","000006623839681",21359,5549,1549.5,"2013-09-10 08:10:51","","2013-09-10 08:36:41","00","11","000006623839681"
"MTC","301007299892813","019337204998430","18470994244","16281386210","000007608621364",50114,4051,1556.6,"2013-09-10 08:10:30","","2013-09-10 08:36:27","00","11","000007608621364"
"MOC","301007505979847","012268007514170","12318388010","18307384162","000000903194595",9779,292,3329.3,"2013-09-10 07:40:59","","2013-09-10 08:36:29","00","11","000000903194595"
"MOC","301007067497886","011948008341140","18133533900","15612229362","000006090615901",33671,8209,1401.9,"2013-09-10 08:13:22","","2013-09-10 08:36:44","00","11","000006090615901"
"MOC","301007084931318","012161000364760","19540662410","16195164750","000006735454978",62189,9468,617.9,"2013-09-10 08:26:17","","2013-09-10 08:36:35","00","11","000006735454978"
"MTC","301007065149296","012430004855240","12601378911","18131185310","000004564562495",33783,6396,914.4,"2013-09-10 08:21:20","","2013-09-10 08:36:34","00","11","000004564562495"
"MOC","301007529642920","012159005207520","14426593700","15416877212","000000903194595",31733,1656,1768.5,"2013-09-10 08:06:57","","2013-09-10 08:36:25","00","11","000000903194595"
"MTC","301007630145274","017398041080990","15080193202","17306486210","000006090615901",17959,7125,1346.4,"2013-09-10 08:14:06","","2013-09-10 08:36:33","00","11","000006090615901"
"MTC","301007558968847","019337203965350","19069076824","19319852400","000006090615901",63556,5437,2962.5,"2013-09-10 07:47:03","","2013-09-10 08:36:25","00","11","000006090615901"
"MOC","301007626512274","012161004750990","17302853210","13861386210","000005780793248",17922,2498,1617.3,"2013-09-10 08:09:27","","2013-09-10 08:36:24","00","11","000005780793248"
